Reference	Disease	Cluster	Gene
Deprez et al	Epithelial	Cycling Basal	PCLAF
Deprez et al	Epithelial	Cycling Basal	PTTG1
Deprez et al	Epithelial	Cycling Basal	TYMS
Deprez et al	Epithelial	Cycling Basal	CENPW
Deprez et al	Epithelial	Cycling Basal	TK1
Deprez et al	Epithelial	Cycling Basal	ZWINT
Deprez et al	Epithelial	Cycling Basal	CDK1
Deprez et al	Epithelial	Cycling Basal	CENPU
Deprez et al	Epithelial	Cycling Basal	UBE2T
Deprez et al	Epithelial	Cycling Basal	NUSAP1
Deprez et al	Epithelial	Cycling Basal	CENPK
Deprez et al	Epithelial	Cycling Basal	TOP2A
Deprez et al	Epithelial	Cycling Basal	MND1
Deprez et al	Epithelial	Cycling Basal	MAD2L1
Deprez et al	Epithelial	Cycling Basal	UBE2C
Deprez et al	Epithelial	Cycling Basal	GINS2
Deprez et al	Epithelial	Cycling Basal	RAD51AP1
Deprez et al	Epithelial	Cycling Basal	BIRC5
Deprez et al	Epithelial	Cycling Basal	CENPF
Deprez et al	Epithelial	Cycling Basal	MKI67
Deprez et al	Epithelial	Cycling Basal	CDT1
Deprez et al	Epithelial	Cycling Basal	LMNB1
Deprez et al	Epithelial	Cycling Basal	CDKN3
Deprez et al	Epithelial	Cycling Basal	PBK
Deprez et al	Epithelial	Cycling Basal	RRM2
Deprez et al	Epithelial	Cycling Basal	CENPN
Deprez et al	Epithelial	Cycling Basal	NMU
Deprez et al	Epithelial	Cycling Basal	CLSPN
Deprez et al	Epithelial	Cycling Basal	CCNA2
Deprez et al	Epithelial	Cycling Basal	ASF1B
Deprez et al	Epithelial	Cycling Basal	TPX2
Deprez et al	Epithelial	Cycling Basal	SGO1
Deprez et al	Epithelial	Cycling Basal	CCNB2
Deprez et al	Epithelial	Cycling Basal	CDC20
Deprez et al	Epithelial	Cycling Basal	FAM111B
Deprez et al	Epithelial	Cycling Basal	NUF2
Deprez et al	Epithelial	Cycling Basal	TACC3
Deprez et al	Epithelial	Cycling Basal	NDC80
Deprez et al	Epithelial	Cycling Basal	SPC25
Deprez et al	Epithelial	Cycling Basal	ASPM
Deprez et al	Epithelial	Cycling Basal	KIFC1
Deprez et al	Epithelial	Cycling Basal	CDCA3
Deprez et al	Epithelial	Cycling Basal	AURKB
Deprez et al	Epithelial	Cycling Basal	ANLN
Deprez et al	Epithelial	Cycling Basal	HMMR
Deprez et al	Epithelial	Cycling Basal	SPC24
Deprez et al	Epithelial	Cycling Basal	ARHGAP11A
Deprez et al	Epithelial	Cycling Basal	NCAPG
Deprez et al	Epithelial	Cycling Basal	MELK
Deprez et al	Epithelial	Cycling Basal	FOXM1
Deprez et al	Epithelial	Basal	KRT17
Deprez et al	Epithelial	Basal	BCAM
Deprez et al	Epithelial	Basal	KRT15
Deprez et al	Epithelial	Basal	DLK2
Deprez et al	Epithelial	Basal	LAMB3
Deprez et al	Epithelial	Basal	NPPC
Deprez et al	Epithelial	Basal	S100A2
Deprez et al	Epithelial	Basal	KRT5
Deprez et al	Epithelial	Basal	EMP3
Deprez et al	Epithelial	Basal	LGALS1
Deprez et al	Epithelial	Basal	DST
Deprez et al	Epithelial	Basal	FHL2
Deprez et al	Epithelial	Basal	ZFP36L2
Deprez et al	Epithelial	Basal	SPRY1
Deprez et al	Epithelial	Basal	EFEMP1
Deprez et al	Epithelial	Basal	TP63
Deprez et al	Epithelial	Basal	DKK3
Deprez et al	Epithelial	Basal	F3
Deprez et al	Epithelial	Basal	HSPA2
Deprez et al	Epithelial	Basal	PRNP
Deprez et al	Epithelial	Basal	ITM2A
Deprez et al	Epithelial	Basal	SERPINF1
Deprez et al	Epithelial	Basal	ATP1B3
Deprez et al	Epithelial	Basal	MMP10
Deprez et al	Epithelial	Basal	FLRT3
Deprez et al	Epithelial	Basal	SMC2
Deprez et al	Epithelial	Basal	ADH7
Deprez et al	Epithelial	Basal	SPINK5
Deprez et al	Epithelial	Basal	PRSS23
Deprez et al	Epithelial	Basal	LTBP4
Deprez et al	Epithelial	Basal	SNAI2
Deprez et al	Epithelial	Basal	CAVIN1
Deprez et al	Epithelial	Basal	TAX1BP3
Deprez et al	Epithelial	Basal	TUBB
Deprez et al	Epithelial	Basal	PLP2
Deprez et al	Epithelial	Basal	G0S2
Deprez et al	Epithelial	Basal	THSD4
Deprez et al	Epithelial	Basal	ALDH3A2
Deprez et al	Epithelial	Basal	IFITM3
Deprez et al	Epithelial	Basal	PLD3
Deprez et al	Epithelial	Basal	SNCA
Deprez et al	Epithelial	Basal	MYL9
Deprez et al	Epithelial	Basal	SULT1E1
Deprez et al	Epithelial	Basal	GSTO1
Deprez et al	Epithelial	Basal	POSTN
Deprez et al	Epithelial	Basal	SLC1A5
Deprez et al	Epithelial	Basal	KISS1
Deprez et al	Epithelial	Basal	ADIRF
Deprez et al	Epithelial	Basal	IGFBP2
Deprez et al	Epithelial	Basal	CBR1
Deprez et al	Epithelial	Suprabasal	SERPINB3
Deprez et al	Epithelial	Suprabasal	IGFBP3
Deprez et al	Epithelial	Suprabasal	SERPINB4
Deprez et al	Epithelial	Suprabasal	FAM3B
Deprez et al	Epithelial	Suprabasal	AKR1C3
Deprez et al	Epithelial	Suprabasal	TSPAN1
Deprez et al	Epithelial	Suprabasal	CLCA2
Deprez et al	Epithelial	Suprabasal	FAM3D
Deprez et al	Epithelial	Suprabasal	CXCL17
Deprez et al	Epithelial	Suprabasal	CTSC
Deprez et al	Epithelial	Suprabasal	MDK
Deprez et al	Epithelial	Suprabasal	CCND1
Deprez et al	Epithelial	Suprabasal	FOXN3
Deprez et al	Epithelial	Suprabasal	UPK1B
Deprez et al	Epithelial	Suprabasal	CLDN7
Deprez et al	Epithelial	Suprabasal	HES4
Deprez et al	Epithelial	Suprabasal	SLC9A3R1
Deprez et al	Epithelial	Suprabasal	CYP4B1
Deprez et al	Epithelial	Suprabasal	MT2A
Deprez et al	Epithelial	Suprabasal	SERPINB1
Deprez et al	Epithelial	Suprabasal	COLCA1
Deprez et al	Epithelial	Suprabasal	RBP1
Deprez et al	Epithelial	Suprabasal	ADAM28
Deprez et al	Epithelial	Suprabasal	TNFSF10
Deprez et al	Epithelial	Suprabasal	LY6D
Deprez et al	Epithelial	Suprabasal	SULT2B1
Deprez et al	Epithelial	Suprabasal	ANXA1
Deprez et al	Epithelial	Suprabasal	GABRP
Deprez et al	Epithelial	Suprabasal	UGT2A1
Deprez et al	Epithelial	Suprabasal	RHOV
Deprez et al	Epithelial	Suprabasal	MGST1
Deprez et al	Epithelial	Suprabasal	CSTA
Deprez et al	Epithelial	Suprabasal	SERPINB13
Deprez et al	Epithelial	Suprabasal	CALML3
Deprez et al	Epithelial	Suprabasal	CHP2
Deprez et al	Epithelial	Suprabasal	C19orf33
Deprez et al	Epithelial	Suprabasal	EPHX1
Deprez et al	Epithelial	Suprabasal	HPGD
Deprez et al	Epithelial	Suprabasal	SUSD4
Deprez et al	Epithelial	Suprabasal	COX5A
Deprez et al	Epithelial	Suprabasal	TNNT3
Deprez et al	Epithelial	Suprabasal	KRT4
Deprez et al	Epithelial	Suprabasal	NOTCH3
Deprez et al	Epithelial	Suprabasal	MT1X
Deprez et al	Epithelial	Suprabasal	NOTCH1
Deprez et al	Epithelial	Suprabasal	SLC25A5
Deprez et al	Epithelial	Suprabasal	TXN
Deprez et al	Epithelial	Suprabasal	PLAT
Deprez et al	Epithelial	Suprabasal	AQP3
Deprez et al	Epithelial	Suprabasal	TACSTD2
Deprez et al	Epithelial	Secretory	CYP2F1
Deprez et al	Epithelial	Secretory	S100P
Deprez et al	Epithelial	Secretory	TSPAN8
Deprez et al	Epithelial	Secretory	PIGR
Deprez et al	Epithelial	Secretory	CRYM
Deprez et al	Epithelial	Secretory	TGM2
Deprez et al	Epithelial	Secretory	CP
Deprez et al	Epithelial	Secretory	LCN2
Deprez et al	Epithelial	Secretory	MUC5B
Deprez et al	Epithelial	Secretory	KRT7
Deprez et al	Epithelial	Secretory	VMO1
Deprez et al	Epithelial	Secretory	FAM3D
Deprez et al	Epithelial	Secretory	MUC1
Deprez et al	Epithelial	Secretory	PSCA
Deprez et al	Epithelial	Secretory	VSIG2
Deprez et al	Epithelial	Secretory	FCGBP
Deprez et al	Epithelial	Secretory	DHRS9
Deprez et al	Epithelial	Secretory	MSLN
Deprez et al	Epithelial	Secretory	RDH10
Deprez et al	Epithelial	Secretory	CEACAM6
Deprez et al	Epithelial	Secretory	C3
Deprez et al	Epithelial	Secretory	BPIFB1
Deprez et al	Epithelial	Secretory	XBP1
Deprez et al	Epithelial	Secretory	SLC31A1
Deprez et al	Epithelial	Secretory	TFF3
Deprez et al	Epithelial	Secretory	GSTA1
Deprez et al	Epithelial	Secretory	CREB3L1
Deprez et al	Epithelial	Secretory	TSPAN1
Deprez et al	Epithelial	Secretory	SELENBP1
Deprez et al	Epithelial	Secretory	C16orf89
Deprez et al	Epithelial	Secretory	CLDN7
Deprez et al	Epithelial	Secretory	KLK11
Deprez et al	Epithelial	Secretory	TMC5
Deprez et al	Epithelial	Secretory	LYPD2
Deprez et al	Epithelial	Secretory	ATP12A
Deprez et al	Epithelial	Secretory	CTSC
Deprez et al	Epithelial	Secretory	MUC5AC
Deprez et al	Epithelial	Secretory	CD55
Deprez et al	Epithelial	Secretory	MUC16
Deprez et al	Epithelial	Secretory	CXCL17
Deprez et al	Epithelial	Secretory	SLC9A3R2
Deprez et al	Epithelial	Secretory	CRACR2B
Deprez et al	Epithelial	Secretory	SERPINB3
Deprez et al	Epithelial	Secretory	STEAP4
Deprez et al	Epithelial	Secretory	GOLM1
Deprez et al	Epithelial	Secretory	SLC44A4
Deprez et al	Epithelial	Secretory	CCNO
Deprez et al	Epithelial	Secretory	SMIM31
Deprez et al	Epithelial	Secretory	MS4A8
Deprez et al	Epithelial	Secretory	UPK1B
Deprez et al	Epithelial	Serous	AZGP1
Deprez et al	Epithelial	Serous	PIP
Deprez et al	Epithelial	Serous	TCN1
Deprez et al	Epithelial	Serous	AC020656.1
Deprez et al	Epithelial	Serous	S100A1
Deprez et al	Epithelial	Serous	LTF
Deprez et al	Epithelial	Serous	DMBT1
Deprez et al	Epithelial	Serous	C6orf58
Deprez et al	Epithelial	Serous	PRR4
Deprez et al	Epithelial	Serous	PRB3
Deprez et al	Epithelial	Serous	FCGBP
Deprez et al	Epithelial	Serous	PIGR
Deprez et al	Epithelial	Serous	ZG16B
Deprez et al	Epithelial	Serous	RNASE1
Deprez et al	Epithelial	Serous	PRB4
Deprez et al	Epithelial	Serous	PHLDA1
Deprez et al	Epithelial	Serous	SLC12A2
Deprez et al	Epithelial	Serous	PART1
Deprez et al	Epithelial	Serous	PPP1R1B
Deprez et al	Epithelial	Serous	LYZ
Deprez et al	Epithelial	Serous	LRRC26
Deprez et al	Epithelial	Serous	MARCKSL1
Deprez et al	Epithelial	Serous	CA2
Deprez et al	Epithelial	Serous	LINC01829
Deprez et al	Epithelial	Serous	APIP
Deprez et al	Epithelial	Serous	FAM3D
Deprez et al	Epithelial	Serous	BPIFB1
Deprez et al	Epithelial	Serous	XBP1
Deprez et al	Epithelial	Serous	CRISP3
Deprez et al	Epithelial	Serous	SMIM22
Deprez et al	Epithelial	Serous	BPIFA1
Deprez et al	Epithelial	Serous	SEC11C
Deprez et al	Epithelial	Serous	LPO
Deprez et al	Epithelial	Serous	FOLR1
Deprez et al	Epithelial	Serous	NDRG2
Deprez et al	Epithelial	Serous	CCL28
Deprez et al	Epithelial	Serous	PRB1
Deprez et al	Epithelial	Serous	CXCL17
Deprez et al	Epithelial	Serous	EIF4EBP1
Deprez et al	Epithelial	Serous	PHB
Deprez et al	Epithelial	Serous	TPD52L1
Deprez et al	Epithelial	Serous	ID2
Deprez et al	Epithelial	Serous	S100B
Deprez et al	Epithelial	Serous	GMDS
Deprez et al	Epithelial	Serous	RGCC
Deprez et al	Epithelial	Serous	GCNT3
Deprez et al	Epithelial	Serous	STATH
Deprez et al	Epithelial	Serous	NPDC1
Deprez et al	Epithelial	Serous	GNAS
Deprez et al	Epithelial	Serous	KCNN4
Deprez et al	Epithelial	Multiciliated	C1orf194
Deprez et al	Epithelial	Multiciliated	RSPH1
Deprez et al	Epithelial	Multiciliated	MORN5
Deprez et al	Epithelial	Multiciliated	C20orf85
Deprez et al	Epithelial	Multiciliated	CAPSL
Deprez et al	Epithelial	Multiciliated	PIFO
Deprez et al	Epithelial	Multiciliated	C5orf49
Deprez et al	Epithelial	Multiciliated	DYNLRB2
Deprez et al	Epithelial	Multiciliated	FAM183A
Deprez et al	Epithelial	Multiciliated	SNTN
Deprez et al	Epithelial	Multiciliated	C9orf24
Deprez et al	Epithelial	Multiciliated	C9orf116
Deprez et al	Epithelial	Multiciliated	AC013264.1
Deprez et al	Epithelial	Multiciliated	AL357093.2
Deprez et al	Epithelial	Multiciliated	AGR3
Deprez et al	Epithelial	Multiciliated	CCDC17
Deprez et al	Epithelial	Multiciliated	C11orf88
Deprez et al	Epithelial	Multiciliated	TPPP3
Deprez et al	Epithelial	Multiciliated	TMEM190
Deprez et al	Epithelial	Multiciliated	CCDC78
Deprez et al	Epithelial	Multiciliated	FAM92B
Deprez et al	Epithelial	Multiciliated	C11orf97
Deprez et al	Epithelial	Multiciliated	GSTA2
Deprez et al	Epithelial	Multiciliated	CCDC170
Deprez et al	Epithelial	Multiciliated	OMG
Deprez et al	Epithelial	Multiciliated	DNAH5
Deprez et al	Epithelial	Multiciliated	LDLRAD1
Deprez et al	Epithelial	Multiciliated	TCTEX1D4
Deprez et al	Epithelial	Multiciliated	LRRIQ1
Deprez et al	Epithelial	Multiciliated	DNAAF1
Deprez et al	Epithelial	Multiciliated	CFAP157
Deprez et al	Epithelial	Multiciliated	SMIM22
Deprez et al	Epithelial	Multiciliated	FOXJ1
Deprez et al	Epithelial	Multiciliated	CES1
Deprez et al	Epithelial	Multiciliated	CCDC146
Deprez et al	Epithelial	Multiciliated	MORN2
Deprez et al	Epithelial	Multiciliated	ZMYND10
Deprez et al	Epithelial	Multiciliated	KIF9
Deprez et al	Epithelial	Multiciliated	TSPAN19
Deprez et al	Epithelial	Multiciliated	ROPN1L
Deprez et al	Epithelial	Multiciliated	CDHR3
Deprez et al	Epithelial	Multiciliated	ODF3B
Deprez et al	Epithelial	Multiciliated	MS4A8
Deprez et al	Epithelial	Multiciliated	CRIP1
Deprez et al	Epithelial	Multiciliated	TUBA1A
Deprez et al	Epithelial	Multiciliated	TMC5
Deprez et al	Epithelial	Multiciliated	DNALI1
Deprez et al	Epithelial	Multiciliated	RSPH9
Deprez et al	Epithelial	Multiciliated	C2orf40
Deprez et al	Epithelial	Multiciliated	SPAG6
Goldfarbmuren et al	Epithelial	Proliferating.basal	TK1
Goldfarbmuren et al	Epithelial	Proliferating.basal	PCLAF
Goldfarbmuren et al	Epithelial	Proliferating.basal	MKI67
Goldfarbmuren et al	Epithelial	Proliferating.basal	TOP2A
Goldfarbmuren et al	Epithelial	Proliferating.basal	ZWINT
Goldfarbmuren et al	Epithelial	Proliferating.basal	TYMS
Goldfarbmuren et al	Epithelial	Proliferating.basal	PBK
Goldfarbmuren et al	Epithelial	Proliferating.basal	NUSAP1
Goldfarbmuren et al	Epithelial	Proliferating.basal	MAD2L1
Goldfarbmuren et al	Epithelial	Proliferating.basal	BIRC5
Goldfarbmuren et al	Epithelial	Proliferating.basal	CENPK
Goldfarbmuren et al	Epithelial	Proliferating.basal	LMNB1
Goldfarbmuren et al	Epithelial	Proliferating.basal	RRM2
Goldfarbmuren et al	Epithelial	Proliferating.basal	CENPF
Goldfarbmuren et al	Epithelial	Proliferating.basal	CENPM
Goldfarbmuren et al	Epithelial	Proliferating.basal	TACC3
Goldfarbmuren et al	Epithelial	Proliferating.basal	CDK1
Goldfarbmuren et al	Epithelial	Proliferating.basal	CENPU
Goldfarbmuren et al	Epithelial	Proliferating.basal	CEP55
Goldfarbmuren et al	Epithelial	Proliferating.basal	TPX2
Goldfarbmuren et al	Epithelial	Proliferating.basal	MND1
Goldfarbmuren et al	Epithelial	Proliferating.basal	PRC1
Goldfarbmuren et al	Epithelial	Proliferating.basal	CENPW
Goldfarbmuren et al	Epithelial	Proliferating.basal	ANLN
Goldfarbmuren et al	Epithelial	Proliferating.basal	ASF1B
Goldfarbmuren et al	Epithelial	Proliferating.basal	UBE2C
Goldfarbmuren et al	Epithelial	Proliferating.basal	CDKN3
Goldfarbmuren et al	Epithelial	Proliferating.basal	CCNA2
Goldfarbmuren et al	Epithelial	Proliferating.basal	CENPH
Goldfarbmuren et al	Epithelial	Proliferating.basal	RAD51AP1
Goldfarbmuren et al	Epithelial	Proliferating.basal	UBE2T
Goldfarbmuren et al	Epithelial	Proliferating.basal	FOXM1
Goldfarbmuren et al	Epithelial	Proliferating.basal	CDC20
Goldfarbmuren et al	Epithelial	Proliferating.basal	KIF20B
Goldfarbmuren et al	Epithelial	Proliferating.basal	CDT1
Goldfarbmuren et al	Epithelial	Proliferating.basal	SGO1
Goldfarbmuren et al	Epithelial	Proliferating.basal	PHF19
Goldfarbmuren et al	Epithelial	Proliferating.basal	CLSPN
Goldfarbmuren et al	Epithelial	Proliferating.basal	ASPM
Goldfarbmuren et al	Epithelial	Proliferating.basal	FANCI
Goldfarbmuren et al	Epithelial	Proliferating.basal	BRCA2
Goldfarbmuren et al	Epithelial	Proliferating.basal	NUF2
Goldfarbmuren et al	Epithelial	Proliferating.basal	PKMYT1
Goldfarbmuren et al	Epithelial	Proliferating.basal	KIFC1
Goldfarbmuren et al	Epithelial	Proliferating.basal	ORC6
Goldfarbmuren et al	Epithelial	Proliferating.basal	DHFR
Goldfarbmuren et al	Epithelial	Proliferating.basal	MELK
Goldfarbmuren et al	Epithelial	Proliferating.basal	CDCA5
Goldfarbmuren et al	Epithelial	Proliferating.basal	KIF11
Goldfarbmuren et al	Epithelial	Proliferating.basal	NMU
Goldfarbmuren et al	Epithelial	Proteasomal.basal	CAV1
Goldfarbmuren et al	Epithelial	Proteasomal.basal	SERPINE2
Goldfarbmuren et al	Epithelial	Proteasomal.basal	COL17A1
Goldfarbmuren et al	Epithelial	Proteasomal.basal	IGFBP6
Goldfarbmuren et al	Epithelial	Proteasomal.basal	FST
Goldfarbmuren et al	Epithelial	Proteasomal.basal	CDH13
Goldfarbmuren et al	Epithelial	Proteasomal.basal	EMP3
Goldfarbmuren et al	Epithelial	Proteasomal.basal	KRT14
Goldfarbmuren et al	Epithelial	Proteasomal.basal	CAMK2N1
Goldfarbmuren et al	Epithelial	Proteasomal.basal	S100A10
Goldfarbmuren et al	Epithelial	Proteasomal.basal	S100A2
Goldfarbmuren et al	Epithelial	Proteasomal.basal	TXNDC17
Goldfarbmuren et al	Epithelial	Proteasomal.basal	ENO1
Goldfarbmuren et al	Epithelial	Proteasomal.basal	CAVIN1
Goldfarbmuren et al	Epithelial	Proteasomal.basal	CYP26B1
Goldfarbmuren et al	Epithelial	Proteasomal.basal	SLC7A5
Goldfarbmuren et al	Epithelial	Proteasomal.basal	KRT6A
Goldfarbmuren et al	Epithelial	Proteasomal.basal	KRT5
Goldfarbmuren et al	Epithelial	Proteasomal.basal	SH3BGRL3
Goldfarbmuren et al	Epithelial	Proteasomal.basal	TGM1
Goldfarbmuren et al	Epithelial	Proteasomal.basal	FSCN1
Goldfarbmuren et al	Epithelial	Proteasomal.basal	FLNA
Goldfarbmuren et al	Epithelial	Proteasomal.basal	COTL1
Goldfarbmuren et al	Epithelial	Proteasomal.basal	ADAMTS1
Goldfarbmuren et al	Epithelial	Proteasomal.basal	SH2D5
Goldfarbmuren et al	Epithelial	Proteasomal.basal	ITGA3
Goldfarbmuren et al	Epithelial	Proteasomal.basal	SLC38A5
Goldfarbmuren et al	Epithelial	Proteasomal.basal	GJB2
Goldfarbmuren et al	Epithelial	Proteasomal.basal	IL1R2
Goldfarbmuren et al	Epithelial	Proteasomal.basal	MSN
Goldfarbmuren et al	Epithelial	Proteasomal.basal	VSNL1
Goldfarbmuren et al	Epithelial	Proteasomal.basal	TUBB6
Goldfarbmuren et al	Epithelial	Proteasomal.basal	NRCAM
Goldfarbmuren et al	Epithelial	Proteasomal.basal	AEBP1
Goldfarbmuren et al	Epithelial	Proteasomal.basal	RGS20
Goldfarbmuren et al	Epithelial	Proteasomal.basal	GJA1
Goldfarbmuren et al	Epithelial	Proteasomal.basal	RAN
Goldfarbmuren et al	Epithelial	Proteasomal.basal	PKM
Goldfarbmuren et al	Epithelial	Proteasomal.basal	CEMIP
Goldfarbmuren et al	Epithelial	Proteasomal.basal	TMSB10
Goldfarbmuren et al	Epithelial	Proteasomal.basal	PPP1R14B
Goldfarbmuren et al	Epithelial	Proteasomal.basal	P3H2
Goldfarbmuren et al	Epithelial	Proteasomal.basal	FYB1
Goldfarbmuren et al	Epithelial	Proteasomal.basal	ITGA6
Goldfarbmuren et al	Epithelial	Proteasomal.basal	HSP90AB1
Goldfarbmuren et al	Epithelial	Proteasomal.basal	FGFBP1
Goldfarbmuren et al	Epithelial	Proteasomal.basal	PROCR
Goldfarbmuren et al	Epithelial	Proteasomal.basal	TIMP1
Goldfarbmuren et al	Epithelial	Proteasomal.basal	PLP2
Goldfarbmuren et al	Epithelial	Proteasomal.basal	EIF5A
Goldfarbmuren et al	Epithelial	Differentiating.basal	DLK2
Goldfarbmuren et al	Epithelial	Differentiating.basal	MMP10
Goldfarbmuren et al	Epithelial	Differentiating.basal	DKK3
Goldfarbmuren et al	Epithelial	Differentiating.basal	JAG2
Goldfarbmuren et al	Epithelial	Differentiating.basal	PDPN
Goldfarbmuren et al	Epithelial	Differentiating.basal	C1R
Goldfarbmuren et al	Epithelial	Differentiating.basal	THSD4
Goldfarbmuren et al	Epithelial	Differentiating.basal	DLL1
Goldfarbmuren et al	Epithelial	Differentiating.basal	ELN
Goldfarbmuren et al	Epithelial	Differentiating.basal	NGFR
Goldfarbmuren et al	Epithelial	Differentiating.basal	BCAM
Goldfarbmuren et al	Epithelial	Differentiating.basal	SULT1E1
Goldfarbmuren et al	Epithelial	Differentiating.basal	ANOS1
Goldfarbmuren et al	Epithelial	Differentiating.basal	C1S
Goldfarbmuren et al	Epithelial	Differentiating.basal	EMP3
Goldfarbmuren et al	Epithelial	Differentiating.basal	CAVIN1
Goldfarbmuren et al	Epithelial	Differentiating.basal	LTB4R
Goldfarbmuren et al	Epithelial	Differentiating.basal	IL33
Goldfarbmuren et al	Epithelial	Differentiating.basal	TSLP
Goldfarbmuren et al	Epithelial	Differentiating.basal	COL7A1
Goldfarbmuren et al	Epithelial	Differentiating.basal	IFITM1
Goldfarbmuren et al	Epithelial	Differentiating.basal	IGFBP7
Goldfarbmuren et al	Epithelial	Differentiating.basal	ITM2A
Goldfarbmuren et al	Epithelial	Differentiating.basal	TGFBI
Goldfarbmuren et al	Epithelial	Differentiating.basal	COL17A1
Goldfarbmuren et al	Epithelial	Differentiating.basal	POSTN
Goldfarbmuren et al	Epithelial	Differentiating.basal	EFEMP1
Goldfarbmuren et al	Epithelial	Differentiating.basal	FLNA
